"file_name","preStimulusDelay","stimulusDuration","iti","phase"
"Neutral_49-43_TrainingAr_17-89_TlN039.PNG",624,200,3800,1
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",665,2200,1800,1
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",1442,200,1800,1
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",597,200,3800,1
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",132,2200,1800,1
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",419,2200,3800,1
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",2368,200,1800,1
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",18,2200,3800,1
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",1579,2200,3800,1
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",1057,200,1800,1
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",1748,603,2531,2
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",335,1469,2531,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",1654,603,3069,2
"Neutral_49-43_TrainingAr_17-89_TlN039.PNG",1316,1469,3800,2
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",839,2200,3069,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",182,1469,3800,2
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",1111,603,3800,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",1447,1797,2203,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",1324,1469,3069,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",516,1797,3069,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",134,931,3397,2
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",2626,200,2531,2
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",284,931,3397,2
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",679,603,2531,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",1396,1469,3397,2
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",1332,2200,3397,2
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",455,1469,2531,2
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",269,603,2203,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",105,931,2203,2
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",1683,931,3069,2
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",426,200,1800,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",477,931,2531,2
