"file_name","preStimulusDelay","stimulusDuration","iti","phase"
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",3567,2200,1800,1
"Neutral_49-43_TrainingAr_17-89_TlN039.PNG",325,200,3800,1
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",2283,2200,1800,1
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",833,200,3800,1
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",637,200,3800,1
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",917,2200,1800,1
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",142,2200,1800,1
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",207,200,1800,1
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",273,2200,3800,1
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",367,200,3800,1
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",129,200,3069,2
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",1697,603,2203,2
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",667,931,3397,2
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",686,1469,2203,2
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",803,931,2203,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",415,1469,1800,2
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",834,1469,2531,2
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",1255,1797,3397,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",2120,2200,2531,2
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",1536,931,3800,2
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",300,1469,2531,2
"Neutral_49-43_TrainingAr_17-89_TlN039.PNG",1898,1797,2531,2
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",1394,603,3069,2
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",106,1797,3800,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",761,931,2203,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",3657,603,2531,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",108,1469,3069,2
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",1822,200,3397,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",386,1797,2531,2
