"file_name","preStimulusDelay","stimulusDuration","iti","phase"
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",109,200,1800,1
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",233,200,3800,1
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",173,2200,1800,1
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",569,2200,3800,1
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",1616,200,1800,1
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",681,2200,3800,1
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",1139,200,1800,1
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",634,2200,1800,1
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",190,200,3800,1
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",519,2200,3800,1
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",1023,603,3800,2
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",1618,2200,2531,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",327,2200,2531,2
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",478,200,3069,2
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",60,200,2531,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",196,931,3069,2
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",192,603,3397,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",459,1797,2531,2
"Neutral_49-43_TrainingAr_17-89_TlN039.PNG",4523,1469,3069,2
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",476,2200,1800,2
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",1408,1469,3397,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",308,1469,3069,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",69,200,1800,2
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",3413,931,2203,2
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",164,1797,2531,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",1332,1469,2203,2
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",1526,931,2531,2
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",321,603,2203,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",329,1797,3069,2
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",2008,1469,3069,2
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",207,931,2531,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",4878,1797,3397,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",2165,603,3800,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",2243,603,3397,2
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",1036,931,3069,2
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",3823,1469,3397,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",46,1797,3069,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",3877,931,1800,2
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",123,1797,3397,2
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",654,931,2203,2
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",999,1469,2203,2
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",2336,931,2531,2
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",1108,1469,2203,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",552,603,3800,2
"Horses_NA_UnkA_NA_1_Horse_Pixaby_165106.PNG",846,1469,3397,3
"Wolves_20_HighAr_94-62_wa14.PNG",244,1469,2203,3
"Negative_39-57_LowAr_37-78_NL_H024.PNG",926,2200,3800,3
"Negative_26-58_HighAr-70-28_NH_Sn012.PNG",2079,1200,3069,3
"Dogs_80_HighAr_76-45_da4.PNG",549,931,2203,3
"Wolves_40_LowAr_23-96_wn4.PNG",1114,603,3397,3
"Negative_35-16_LowAr_39-16_NL_H106.PNG",355,1469,3397,3
"Wolves_20_HighAr_55-09_wa15.PNG",1399,1797,1800,3
"Dogs_60_LowAr_9-94_dn13.PNG",1211,1469,2531,3
"Horses_NA_UnkA_NA_1_Horse_Pixaby_165106.PNG",103,603,3800,3
"Positive_96-55_LowAr_7-99_PL117.PNG",949,931,2203,3
"Zebras_NA_UnkA_NA_2_Zebra_Pixaby_Christels.PNG",1445,1469,1800,3
"Dogs_80_HighAr_64-55_da13.PNG",314,1797,2800,3
"Positive_94-11_LowAr_6-60_PL036.PNG",568,1200,2531,3
"Horses_NA_UnkA_NA_3_Horse_Pixaby_Alexas_Fotos2.PNG",2332,200,3069,3
"Dogs_80_HighAr_69-11_da10.png",434,200,3069,3
"Negative_0-72_HighAr_92-40_NH_H022.PNG",545,1469,3800,3
"Dogs_60_LowAr_11-00_dn7.PNG",200,200,3397,3
"Positive_94-40_HighAr_37-63_PH088.PNG",680,1200,2203,3
"Dogs_60_LowAr_17-20_dn3.PNG",1092,931,3069,3
"Wolves_20_HighAr_83-21_wa3.PNG",2279,931,3069,3
"Dogs_60_LowAr_11-41_dn15.PNG",133,1469,2800,3
"Positive_94-11_LowAr_6-60_PL036.PNG",421,931,2531,3
"Wolves_20_HighAr_70-58_wa1.PNG",149,1469,3069,3
"Wolves_40_LowAr_11-17_wn10.PNG",91,200,2531,3
"Positive_77-76_HighAr-51-20_PH124.PNG",162,200,3069,3
"Wolves_20_HighAr_77-02_wa5.PNG",2821,931,1800,3
"Wolves_40_LowAr_14-43_wn14.PNG",86,1797,3069,3
"Positive_94-11_LowAr_6-60_PL036.PNG",163,2200,3397,3
"Positive_96-55_LowAr_7-99_PL117.PNG",1350,603,1800,3
"Positive_91-27_HighAr_57-64_PH050.PNG",3508,2200,3800,3
"Dogs_60_LowAr_18-50_dn2.PNG",394,931,2531,3
"Wolves_20_HighAr_55-09_wa15.PNG",453,200,2800,3
"Dogs_80_HighAr_76-36_da12.png",755,931,3397,3
"Horses_NA_UnkA_NA_6_Horse_Pixaby_Alexas_Fotos.PNG",860,1200,3800,3
"Negative_32-22_LowAr_48-06_NL_Sn003.PNG",2017,1797,3069,3
"Zebras_NA_UnkA_NA_7_Zebra_Pixaby_Carla_Manneh.PNG",41,1200,2531,3
"Neutral_49-68_NeutAr_21-31_N092.PNG",1443,200,3397,3
"Negative_35-16_LowAr_39-16_NL_H106.PNG",1727,1797,2203,3
"Dogs_80_HighAr_88-43_da6.PNG",690,1469,3397,3
"Horses_NA_UnkA_NA_3_Horse_Pixaby_Alexas_Fotos2.PNG",2250,1469,3069,3
"Dogs_80_HighAr_69-11_da10.png",37,1797,2800,3
"Wolves_40_LowAr_15-57_wn13.png",1528,2200,3800,3
"Wolves_40_LowAr_21-35_wn9.PNG",169,603,2531,3
"Dogs_80_HighAr_69-36_da9.PNG",283,2200,2531,3
"Zebras_NA_UnkA_NA_5_Zebra_Pixaby_DaFranzos.PNG",474,2200,3397,3
"Dogs_80_HighAr_76-45_da4.PNG",314,1200,3397,3
"Wolves_20_HighAr_74-33_wa6.PNG",147,1469,3800,3
"Wolves_40_LowAr_15-16_wn12.png",2846,1200,3397,3
"Positive_94-40_HighAr_37-63_PH088.PNG",1858,603,3800,3
"Negative_9-52_HighAr_78-44_NH_Sp136.PNG",742,931,2800,3
"Positive_77-76_HighAr-51-20_PH124.PNG",1450,1469,2800,3
"Dogs_80_HighAr_74-98_da1.PNG",1598,2200,2800,3
"Negative_29-62_LowAr_36-97_NL_H059.PNG",2298,1469,1800,3
"Negative_26-58_HighAr-70-28_NH_Sn012.PNG",404,2200,3069,3
"Horses_NA_UnkA_NA_7_Horse_Pixaby_Rihaij.PNG",2309,603,2531,3
"Wolves_40_LowAr_15-16_wn12.png",336,931,2800,3
"Wolves_20_HighAr_79-87_wa7.png",3045,931,2531,3
"Dogs_80_HighAr_100_da3.PNG",1194,200,3800,3
"Horses_NA_UnkA_NA_4_Horse_Pixaby_Jaclou-dl.PNG",1013,1797,1800,3
"Dogs_60_LowAr_21-35_dn8.PNG",2495,1200,2203,3
"Negative_17-25_HighAr_70-41_NH_Sn131.PNG",173,200,3069,3
"Horses_NA_UnkA_NA_8_Horse_Pixaby_JosepMonter.PNG",422,603,2531,3
"Zebras_NA_UnkA_NA_6_Zebra_Pixaby_HolgersFotografie.PNG",2849,2200,1800,3
"Dogs_60_LowAr_18-50_dn2.PNG",1035,1200,2531,3
"Neutral_50-11_NeutAr_18-49_N101.PNG",2659,1469,1800,3
"Zebras_NA_UnkA_NA_5_Zebra_Pixaby_DaFranzos.PNG",1121,931,3800,3
"Positive_84-07_LowAr_7-78_PL116.PNG",1318,200,2531,3
"Neutral_50-61_NeutAr_21-66_N109.PNG",503,2200,3800,3
"Dogs_80_HighAr_76-36_da12.png",978,603,1800,3
"Dogs_60_LowAr_10-11_dn5.PNG",35,200,2203,3
"Zebras_NA_UnkA_NA_2_Zebra_Pixaby_Christels.PNG",596,1797,3069,3
"Wolves_40_LowAr_15-89_wn11.PNG",79,931,3069,3
"Negative_15-47_LowAr_42-89_NL_H095.PNG",911,1469,2203,3
"Dogs_80_HighAr_100_da3.PNG",247,1469,3069,3
"Dogs_60_LowAr_10-11_dn5.PNG",1363,1797,3069,3
"Wolves_20_HighAr_91-36_wa12.PNG",4,1469,2800,3
"Dogs_80_HighAr_64-55_da13.PNG",3230,200,3069,3
"Positive_89-82_HighAr_43-09_PH065.PNG",792,2200,1800,3
"Dogs_80_HighAr_87-69_da14.PNG",3530,1469,2800,3
"Dogs_60_LowAr_21-35_dn8.PNG",514,603,1800,3
"Wolves_40_LowAr_13-94_wn3.PNG",429,1469,2203,3
"Horses_NA_UnkA_NA_7_Horse_Pixaby_Rihaij.PNG",738,1200,3800,3
"Negative_2-02_HighAr_87-28_NH_H074.PNG",1623,2200,2203,3
"Dogs_60_LowAr_10-11_dn5.PNG",158,1469,3397,3
"Wolves_40_LowAr_15-57_wn13.png",3646,1200,2531,3
"Wolves_40_LowAr_23-96_wn4.PNG",44,1200,1800,3
"Wolves_40_LowAr_29-83_wn1.PNG",3422,1797,2800,3
"Positive_90-81_LowAr_9-24_PL_P048.PNG",1105,1469,3069,3
"Wolves_40_LowAr_15-57_wn13.png",481,931,3800,3
"Dogs_60_LowAr_19-97_dn9.PNG",194,603,3800,3
"Wolves_40_LowAr_23-96_wn4.PNG",916,931,3069,3
"Wolves_20_HighAr_74-33_wa6.PNG",26,1797,2203,3
"Wolves_40_LowAr_28-44_wn8.PNG",348,1469,2531,3
"Wolves_20_HighAr_78-57_wa13.PNG",1327,1200,2800,3
"Wolves_40_LowAr_13-94_wn3.PNG",207,1797,2203,3
"Wolves_20_HighAr_74-33_wa6.PNG",543,2200,1800,3
"Negative_39-57_LowAr_37-78_NL_H024.PNG",674,1200,3800,3
"Dogs_80_HighAr_76-36_da12.png",2382,1200,2203,3
