"file_name","duration","iti","phase"
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",2200,3800,1
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",200,3800,1
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",2200,3800,1
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",2200,1800,1
"Neutral_48-87_TrainingAr_30-28_TlN087.PNG",200,1800,1
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",200,1800,1
"Neutral_49-43_TrainingAr_17-89_TlN039.PNG",2200,1800,1
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",200,1800,1
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",2200,3800,1
"Neutral_49-68_TrainingAr_21-31_TlN092.PNG",200,3800,1
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",1469,3397,2
"Neutral_47-49_TrainingAr_26-05_TlN046.PNG",1797,2203,2
"Neutral_46-39_TrainingAr_26-09_TlN102.PNG",200,2531,2
"Neutral_48-31_TrainingAr_26-60_TlN033.PNG",931,3800,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",1469,3800,2
"Neutral_51-21_TrainingAr_23-40_TlN106.PNG",931,3397,2
"Neutral_49-68_TrainingAr_21-31_TlN092.PNG",603,3397,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",2200,2203,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",1797,3397,2
"Neutral_52-85_TrainingAr_18-71_TlN036.PNG",603,3069,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",931,3397,2
"Neutral_51-30_TrainingAr_26-21_TlN020.PNG",931,3397,2
"Neutral_51-87_TrainingAr_23-84_TlN025.PNG",1797,2203,2
"Neutral_47-18_TrainingAr_29-76_TlN073.PNG",1797,3069,2
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",931,2531,2
"Neutral_51-96_TrainingAr_20-87_TlN031.PNG",1797,2531,2
"Neutral_49-07_TrainingAr_29-34_TlN011.PNG",1797,2531,2
"Neutral_52-17_TrainingAr_31-66_TlN107.PNG",931,3069,2
"Neutral_52-91_TrainingAr_22-26_TlN097.PNG",1469,3800,2
"Neutral_51-37_TrainingAr_23-25_TlN094.PNG",200,2531,2
